90e1 郡
90e8 部
90ed 郭
90f5 郵
90fd 都
9115 鄕
9130 鄰
9149 酉
914c 酌
914d 配
9152 酒
9189 醉
919c 醜
91ab 醫
91cb 釋
91cc 里
91cd 重
91ce 野
91cf 量
91d1 金
91dd 針
920d 鈍
925b 鉛
9280 銀
9283 銃
9285 銅
9298 銘
92b3 銳
92fc 鋼
9304 錄
9322 錢
9326 錦
932f 錯
934a 鍊
9396 鎖
93ad 鎭
93e1 鏡
9418 鐘
9435 鐵
9444 鑄
9451 鑑
945b 鑛
9577 長
9580 門
9589 閉
958b 開
958f 閏
9591 閑
9593 間
95a3 閣
95b1 閱
95dc 關
9632 防
9644 附
964d 降
9650 限
9662 院
9663 陣
9664 除
9670 陰
9673 陳
9675 陵
9676 陶
9677 陷
9678 陸
967d 陽
9686 隆
968a 隊
968e 階
9694 隔
969b 際
969c 障
96a8 隨
96aa 險
96b1 隱
96b7 隷
96c1 雁
96c4 雄
96c5 雅
96c6 集
96d6 雖
96d9 雙
96dc 雜
96e2 離
96e3 難
96e8 雨
96ea 雪
96f2 雲
96f6 零
96f7 雷
96fb 電
9700 需
9707 震
971c 霜
9727 霧
9732 露
9748 靈
9751 靑
975c 靜
975e 非
9762 面
9769 革
97d3 韓
97f3 音
97fb 韻
97ff 響
9802 頂
9803 頃
9805 項
9806 順
9808 須
980c 頌
9817 頗
9818 領
982d 頭
983b 頻
984c 題
984d 額
9854 顔
9858 願
985e 類
9867 顧
986f 顯
98a8 風
98db 飛
98dc 飜
98df 食
98e2 飢
98ee 飮
98ef 飯
98fd 飽
98fe 飾
990a 養
9913 餓
9918 餘
9928 館
9996 首
9999 香
99ac 馬
9a0e 騎
9a30 騰
9a37 騷
9a45 驅
9a57 驗
9a5a 驚
9a5b 驛
9aa8 骨
9ad4 體
9ad8 高
9aee 髮
9b2a 鬪
9b3c 鬼
9b42 魂
9b5a 魚
9bae 鮮
9ce5 鳥
9cf3 鳳
9cf4 鳴
9d3b 鴻
9db4 鶴
9dc4 鷄
9e7d 鹽
9e7f 鹿
9e97 麗
9ea5 麥
9ebb 麻
9ec3 黃
9ed1 黑
9ed8 默
9ede 點
9ee8 黨
9f13 鼓
9f3b 鼻
9f4a 齊
9f52 齒
9f8d 龍
9f9c 龜
2e569 𮕩
